X,Y,id,state_code,state_name,lga_code_2,lga_name_2,erp_2001,erp_2002,erp_2003,erp_2004,erp_2005,erp_2006,erp_2007,erp_2008,erp_2009,erp_2010,erp_2011,erp_2012,erp_2013,erp_2014,erp_2015,erp_2016,erp_2017,erp_2018,erp_2019,erp_2020,erp_2021,erp_2022,erp_2023,erp_2024,erp_change,erp_chan_1,area_km2,pop_densit,births_202,deaths_202,natural_in,internal_a,internal_d,net_intern,overseas_a,overseas_d,net_overse,births_2_1,deaths_2_1,natural__1,internal_1,internal_2,net_inte_1,overseas_1,overseas_2,net_over_1,births_2_2,deaths_2_2,natural__2,internal_3,internal_4,net_inte_2,overseas_3,overseas_4,net_over_2,green_spac,pop_dens_1,Green_Pct
146.970526007347,-36.0265387935469,"1","1",New South Wales,"10050",Albury,"45265","45816","46180","46505","47004","47566","48140","48518","48814","49222","49451","49785","50338","50990","51486","52171","53056","53922","54657","55466","56067","56665","57509","58317","808",1.405000000000000,305.638599999999997,190.803799999999995,"720","551","169","4198","4000","198","436","205","231","682","527","155","3476","3211","265","584","160","424","734","485","249","3486","3260","226","508","175","333",,190.803779365564424,
151.899111391045,-30.3673824057517,"2","1",New South Wales,"10180",Armidale,"27906","27774","27610","27410","27350","27377","27468","27788","28156","28409","28573","28748","28895","29015","29160","29310","29519","29631","29701","29600","29332","29361","29588","29646","58",0.196000000000000,7809.440599999999904,3.796200000000000,"336","240","96","2458","2774","-316","467","218","249","359","287","72","2090","2426","-336","663","172","491","335","256","79","2017","2397","-380","545","186","359",,3.796174594118816,
153.571208281423,-28.8735019613196,"3","1",New South Wales,"10250",Ballina,"37856","38417","38870","39120","39305","39537","39824","40020","40295","40571","40747","41118","41510","41881","42336","42993","43652","44385","44997","45663","46196","46849","47277","47935","658",1.391800000000000,484.969200000000001,98.841300000000004,"453","491","-38","4084","3594","490","377","176","201","424","516","-92","3058","2904","154","505","139","366","400","548","-148","3316","2798","518","438","150","288",,98.841328480241629,
153.486155187512,-28.8528744901338,"3","1",New South Wales,"10250",Ballina,"37856","38417","38870","39120","39305","39537","39824","40020","40295","40571","40747","41118","41510","41881","42336","42993","43652","44385","44997","45663","46196","46849","47277","47935","658",1.391800000000000,484.969200000000001,98.841300000000004,"453","491","-38","4084","3594","490","377","176","201","424","516","-92","3058","2904","154","505","139","366","400","548","-148","3316","2798","518","438","150","288",,98.841328480241629,
143.61162396992,-33.9503396483594,"4","1",New South Wales,"10300",Balranald,"2751","2703","2661","2596","2545","2507","2473","2433","2404","2381","2353","2363","2381","2376","2364","2330","2338","2308","2287","2257","2208","2210","2202","2219","17",0.772000000000000,21690.749299999999494,0.102300000000000,"25","17","8","196","210","-14","13","5","8","32","28","4","147","175","-28","22","6","16","18","31","-13","144","127","17","19","6","13",,0.102301675673325,
149.525639510346,-33.4301258972159,"5","1",New South Wales,"10470",Bathurst,"35504","35831","36084","36245","36547","36916","37272","37904","38848","39484","39960","40301","40727","41157","41694","42244","42583","42882","43207","43444","43674","44110","44606","44939","333",0.746500000000000,3817.864500000000135,11.770700000000000,"575","389","186","3181","3074","107","270","127","143","538","359","179","2345","2279","66","349","98","251","521","408","113","2323","2310","13","316","109","207",,11.770716325841317,
151.167120528982,-33.9495154416159,"6","1",New South Wales,"10500",Bayside (NSW),"129075","129377","130598","131144","132112","133205","135831","139556","142527","144295","144985","148028","151309","154980","159222","164534","168779","171377","173913","176184","176229","177992","182945","185880","2935",1.604300000000000,50.620399999999997,3672.036999999999807,"2482","1185","1297","13456","15980","-2524","5856","2866","2990","2181","1158","1023","10028","13480","-3452","9910","2528","7382","2036","1146","890","10079","13676","-3597","8407","2765","5642",,3672.037360431762863,
150.052392908672,-37.2623485391248,"7","1",New South Wales,"10550",Bega Valley,"30425","30790","31056","31406","31608","31829","32183","32367","32620","32962","33128","33288","33430","33562","33713","33941","34287","34674","35026","35428","35770","35985","36278","36593","315",0.868300000000000,6278.501299999999901,5.828300000000000,"332","379","-47","2422","2240","182","150","70","80","314","375","-61","1869","1653","216","194","56","138","284","386","-102","1969","1689","280","198","61","137",,5.828301731816160,
149.913767674504,-37.0692040998121,"7","1",New South Wales,"10550",Bega Valley,"30425","30790","31056","31406","31608","31829","32183","32367","32620","32962","33128","33288","33430","33562","33713","33941","34287","34674","35026","35428","35770","35985","36278","36593","315",0.868300000000000,6278.501299999999901,5.828300000000000,"332","379","-47","2422","2240","182","150","70","80","314","375","-61","1869","1653","216","194","56","138","284","386","-102","1969","1689","280","198","61","137",,5.828301731816160,
149.946245327483,-37.0563004398108,"7","1",New South Wales,"10550",Bega Valley,"30425","30790","31056","31406","31608","31829","32183","32367","32620","32962","33128","33288","33430","33562","33713","33941","34287","34674","35026","35428","35770","35985","36278","36593","315",0.868300000000000,6278.501299999999901,5.828300000000000,"332","379","-47","2422","2240","182","150","70","80","314","375","-61","1869","1653","216","194","56","138","284","386","-102","1969","1689","280","198","61","137",,5.828301731816160,
